"타임스탬프","Age","Gender","How often do you play games in a week?"," How long time did you played match-3 game?","I think the tutorial session is helpful to learn the matching skills.","How long did it take you to learn the game's basic mechanics?","How long did it take you to learn the special matching skills.","The tutorial helped me better remember the matching skills.","I think I learned all of matching skill through the tutorial session.","I think I was involved in game playing.","I think newly descended block was no different from the regular Match-3 games.","The hint doesn’t show information I already know.","Please enter the [Survey Code] on the game screen."
"2023/08/04 5:26:35 오후 GMT+9","48","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","6","7","6","5","7","7","6","RD_ac3608e8"
"2023/08/04 5:28:16 오후 GMT+9","35","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","7","6","5","7","4","7","5","6","RD_616f7be1"
"2023/08/04 5:29:03 오후 GMT+9","30","Male","1-5 hours","No experience","1","3","3","1","1","7","4","2","MCKN_54b27ea8"
"2023/08/04 5:29:25 오후 GMT+9","34","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","7","7","7","7","6","5","5","6","MCKN_913a3710"
"2023/08/04 5:29:30 오후 GMT+9","38","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","6","5","6","5","6","5","5","5","RD_3b6cbcf4"
"2023/08/04 5:30:29 오후 GMT+9","25","Female","More than 20 hours","Higher than 1 hour ( > 1 hour)","6","7","5","6","4","7","6","4","MCSC_b31d7a8a"
"2023/08/04 5:31:27 오후 GMT+9","30","Male","11-20 hours","Higher than 1 hour ( > 1 hour)","2","2","2","3","2","3","3","2","MCSC_692e437f"
"2023/08/04 5:32:10 오후 GMT+9","35","Female","6-10 hours","Higher than 1 hour ( > 1 hour)","6","4","3","6","6","7","3","1","RD_f2585b45"
"2023/08/04 5:32:28 오후 GMT+9","35","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","5","4","5","3","5","4","5","2","RD_bdefdf74"
"2023/08/04 5:32:33 오후 GMT+9","35","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","7","5","3","5","7","3","1","RD_fda381bb"
"2023/08/04 5:32:34 오후 GMT+9","30","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","5","7","6","7","7","6","7","6","RD_a4c2fb48"
"2023/08/04 5:32:56 오후 GMT+9","35","Female","6-10 hours","Higher than 1 hour ( > 1 hour)","6","6","6","6","6","7","6","1","MCKN_32e399ef"
"2023/08/04 5:33:38 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","5","5","5","5","6","6","5","5","MCSC_07b2dbb1"
"2023/08/04 5:34:01 오후 GMT+9","30","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","7","6","7","6","7","7","6","7","RD_8e67e602"
"2023/08/04 5:34:48 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","7","6","7","6","7","6","7","6","RD_1f89ce40"
"2023/08/04 5:35:18 오후 GMT+9","35","Female","1-5 hours","Higher than 1 hour ( > 1 hour)","5","3","7","6","5","7","4","1","RD_fab90c3f"
"2023/08/04 5:35:52 오후 GMT+9","35","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","5","5","6","5","5","6","6","5","MCKN_3896c8d1"
"2023/08/04 5:35:59 오후 GMT+9","35","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","7","6","6","7","7","6","7","RD_d60101ee"
"2023/08/04 5:36:13 오후 GMT+9","25","Female","11-20 hours","Higher than 1 hour ( > 1 hour)","7","5","7","5","7","5","7","5","MCSC_f0c5a12b"
"2023/08/04 5:36:37 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","6","5","6","4","5","4","6","1","MCKN_4722edc2"
"2023/08/04 5:36:55 오후 GMT+9","35","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","6","5","6","5","6","7","5","3","MCSC_87e9394d"
"2023/08/04 5:37:09 오후 GMT+9","35","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","5","4","6","5","4","5","3","MCSC_818e2612"
"2023/08/04 5:37:13 오후 GMT+9","35","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","5","6","5","6","5","6","5","MCSC_4014ce4e"
"2023/08/04 5:38:02 오후 GMT+9","35","Male","6-10 hours","Higher than 1 hour ( > 1 hour)","6","6","6","6","6","7","5","1","MCKN_e30a3a35"
"2023/08/04 5:38:15 오후 GMT+9","35","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","4","7","6","5","6","7","5","1","MCSC_dd6325cf"
"2023/08/04 5:38:50 오후 GMT+9","35","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","6","7","6","7","6","7","6","MCKN_629c61f5"
"2023/08/04 5:39:21 오후 GMT+9","21","Female","1-5 hours","No experience","6","7","5","7","6","7","6","3","RD_6e1f1dc2"
"2023/08/04 5:41:09 오후 GMT+9","32","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","6","6","5","5","6","6","6","6","RD_41d17f3a"
"2023/08/04 5:41:13 오후 GMT+9","32","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","6","5","4","5","5","5","5","5","MCSC_e1c56623"
"2023/08/04 5:41:33 오후 GMT+9","30","Male","6-10 hours","Higher than 1 hour ( > 1 hour)","6","4","7","5","3","6","4","7","MCKN_5ace3e0e"
"2023/08/04 5:41:34 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","3","6","7","3","3","7","3","6","RD_a4c03771"
"2023/08/04 5:41:42 오후 GMT+9","36","Female","6-10 hours","Higher than 1 hour ( > 1 hour)","7","6","7","6","7","5","3","6","RD_01a81cfc"
"2023/08/04 5:42:04 오후 GMT+9",40,"Male","6-10 hours","Higher than 1 hour ( > 1 hour)","6","5","5","6","4","6","4","6",RD_939c5686
"2023/08/04 5:42:27 오후 GMT+9","32","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","4","1","3","3","1","2","2",MCSC_8e99c694
"2023/08/04 5:42:34 오후 GMT+9","32","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","5","5","5","5","5","4","4","4","MCSC_420e418d"
"2023/08/04 5:42:57 오후 GMT+9","35","Female","1-5 hours","Higher than 1 hour ( > 1 hour)","4","6","5","4","6","7","6","4","MCSC_8e76acc4"
"2023/08/04 5:43:03 오후 GMT+9","29","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","6","6","6","6","6","6","5","6","MCKN_62f0f29a"
"2023/08/04 5:43:16 오후 GMT+9","30","Male","6-10 hours","Higher than 1 hour ( > 1 hour)","3","3","2","3","2","2","2","2","RD_2ef9e3fc"
"2023/08/04 5:43:32 오후 GMT+9","32","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","5","5","6","5","5","6","5","MCKN_1a1b31b1"
"2023/08/04 5:43:58 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","7","6","7","6","7","6","7","6","MCSC_6e7fdf0d"
"2023/08/04 5:44:17 오후 GMT+9","25","Male","11-20 hours","Higher than 1 hour ( > 1 hour)","6","7","5","6","7","4","5","3","MCKN_bdad55ea"
"2023/08/04 5:44:25 오후 GMT+9","32","Female","6-10 hours","Higher than 1 hour ( > 1 hour)","7","6","7","6","7","6","3","6","RD_b0fec75f"
"2023/08/04 5:45:01 오후 GMT+9","30","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","4","1","5","7","1","7","5","4",RD_cd7e2c34
"2023/08/04 5:46:32 오후 GMT+9","35","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","5","6","5","6","5","6","5","MCKN_bf3330de"
"2023/08/04 5:47:18 오후 GMT+9","31","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","6","7","7","7","6","7","7","7","MCKM_14c0e24b"
"2023/08/04 5:48:26 오후 GMT+9","42","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","5","6","4","5","4","5","6","4","MCSC_58f9a192"
"2023/08/04 5:48:51 오후 GMT+9","30","Male","1-5 hours","No experience","2","3","2","2","3","2","3","2","MCSC_569dd2ad"
"2023/08/04 5:49:01 오후 GMT+9","30","Female","1-5 hours","Higher than 1 hour ( > 1 hour)","6","6","6","6","6","6","6","6","RD_33667271"
"2023/08/04 5:49:27 오후 GMT+9","27","Female","Less than 1 hour","Lower than 1 hour ( < 1 hour)","6","6","6","6","6","6","6","6","MCSC_3b834540"
"2023/08/04 5:49:36 오후 GMT+9","30","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","7","7","6","6","6","2","2","2","MCSC_0c6b55d0"
"2023/08/04 5:50:18 오후 GMT+9","32","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","7","5","7","6","7","2","7","7","MCSC_4902a379"
"2023/08/04 5:50:24 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","6","4","6","4","6","4","6","4","RD_02de9ff0"
"2023/08/04 5:50:34 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","7","6","7","6","7","6","7","6","MCSC_8FF73425"
"2023/08/04 5:51:22 오후 GMT+9",32,"Male","1-5 hours","Lower than 1 hour ( < 1 hour)","4","4","6","7","7","7","7","7",MCSC_a6886d13
"2023/08/04 5:51:34 오후 GMT+9","35","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","7","6","7","6","7","6","7","6","MCSC_9fd6547"
"2023/08/04 5:51:36 오후 GMT+9","48","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","4","3","4","4","3","3","3","3","MCSC_86623ae8"
"2023/08/04 5:51:45 오후 GMT+9","26","Male","6-10 hours","Higher than 1 hour ( > 1 hour)","5","6","5","7","5","6","7","5","MCSC_420e418d"
"2023/08/04 5:51:56 오후 GMT+9","30","Male","6-10 hours","Higher than 1 hour ( > 1 hour)","7","6","6","6","6","6","6","7","RD_f6a7f177"
"2023/08/04 5:52:37 오후 GMT+9","37","Female","11-20 hours","Higher than 1 hour ( > 1 hour)","7","5","6","4","7","6","7","5","RD_b9281613"
"2023/08/04 5:52:45 오후 GMT+9","30","Male","1-5 hours","No experience","4","4","7","4","6","4","3","6","RD_f6a7f177"
"2023/08/04 6:04:31 오후 GMT+9","30","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","6","6","6","6","6","7","7","6","MCSC_18a79648"
"2023/08/04 6:06:50 오후 GMT+9","30","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","6","7","6","7","6","6","6","7","RD_e251b4cb"
"2023/08/04 6:07:06 오후 GMT+9","55","Female","11-20 hours","Lower than 1 hour ( < 1 hour)","6","7","7","6","7","6","4","5","MCKN_399c05ac"
"2023/08/04 6:07:10 오후 GMT+9","35","Female","6-10 hours","Higher than 1 hour ( > 1 hour)","5","4","6","5","4","6","5","1","MCKN_513c2bc8"
"2023/08/04 6:08:21 오후 GMT+9","25","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","6","6","6","6","5","5","7","6","MCSC_adf58ffd"
"2023/08/04 6:08:59 오후 GMT+9","30","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","7","6","7","6","7","7","7","7","MCKN_2602d813"
"2023/08/04 6:08:59 오후 GMT+9","35","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","6","5","6","5","4","6","5","RD_e39a4439"
"2023/08/04 6:10:25 오후 GMT+9","31","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","1","3","3","4","3","4","4","3","RD_2e7611c0"
"2023/08/04 6:10:35 오후 GMT+9","24","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","5","7","6","6","6","7","5","7","RD_138ff675"
"2023/08/04 6:13:13 오후 GMT+9","30","Female","1-5 hours","Higher than 1 hour ( > 1 hour)","6","7","6","7","6","7","6","7","RD_e76665a7"
"2023/08/04 6:14:22 오후 GMT+9","32","Male","More than 20 hours","Higher than 1 hour ( > 1 hour)","7","6","5","6","6","7","5","6","MCSC_cb2679f5"
"2023/08/04 6:14:55 오후 GMT+9","24","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","6","5","6","5","4","5","6","5","MCSC_77d913e1"
"2023/08/04 6:16:22 오후 GMT+9","26","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","4","5","4","5","4","4","5","4","MCKN_91315a2b"
"2023/08/04 6:18:55 오후 GMT+9","30","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","7","6","7","6","7","6","7","6","MCKN_da3e5e15"
"2023/08/04 6:19:21 오후 GMT+9","30","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","3","3","2","3","3","2","3","RD_7914a8c1"
"2023/08/04 6:20:35 오후 GMT+9","51","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","5","6","5","6","5","6","5","6","MCSC_601f8747"
"2023/08/04 6:21:01 오후 GMT+9","30","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","3","3","3","5","3","2","2","4","MCSC_3307613a"
"2023/08/04 6:21:50 오후 GMT+9","23","Male","More than 20 hours","No experience","7","7","7","7","7","7","2","1","MCKN_ec526bd4"
"2023/08/04 6:23:01 오후 GMT+9","32","Male","1-5 hours","Higher than 1 hour ( > 1 hour)","1","3","3","6","7","7","6","6",MCSC_11909e7f
"2023/08/04 6:26:34 오후 GMT+9","48","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","5","6","4","6","4","6","4","5","RD_ac3608e8"
"2023/08/04 6:27:47 오후 GMT+9","48","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","6","7","6","7","6","7","7","6","RD_ac3608e8"
"2023/08/04 6:28:22 오후 GMT+9","36","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","5","5","4","4","4","5","5","4","MCKN_211700f2"
"2023/08/04 6:28:48 오후 GMT+9","29","Female","More than 20 hours","Higher than 1 hour ( > 1 hour)","6","5","6","5","6","5","5","6","MCKN_7e5cae45"
"2023/08/04 6:29:31 오후 GMT+9","23","Male","6-10 hours","Higher than 1 hour ( > 1 hour)","7","7","7","7","7","6","7","7","RD_8ca3670c"
"2023/08/04 6:31:04 오후 GMT+9","48","Female","6-10 hours","Lower than 1 hour ( < 1 hour)","5","3","3","5","3","5","3","5","RD_ac3608e8"
"2023/08/04 6:49:45 오후 GMT+9","30","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","5","6","6","7","7","6","7","7","MCKN_dd57bd34"
"2023/08/04 6:52:02 오후 GMT+9","36","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","7","6","7","6","7","6","7","6","MCKN_cfb52f3e"
"2023/08/04 6:58:30 오후 GMT+9","31","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","1","4","4","3","5","5","5","3","MCKN_e9191369"
"2023/08/04 7:03:44 오후 GMT+9","25","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","5","6","6","6","5","6","6","6","MCSC_372045dd"
"2023/08/04 7:04:41 오후 GMT+9","30","Male","1-5 hours","No experience","5","6","6","6","7","6","6","6","MCSC_1fc40065"
"2023/08/04 7:07:27 오후 GMT+9","48","Female","11-20 hours","Higher than 1 hour ( > 1 hour)","6","5","6","5","6","7","6","6","MCKN_99f38975"
"2023/08/04 7:14:42 오후 GMT+9","25","Female","1-5 hours","Lower than 1 hour ( < 1 hour)","6","7","6","7","6","7","7","6","MCSC_89a1deb3"
"2023/08/04 7:24:27 오후 GMT+9","24","Female","6-10 hours","Higher than 1 hour ( > 1 hour)","6","5","6","5","4","5","6","5","RD_b39f428f"
"2023/08/04 7:25:56 오후 GMT+9","48","Male","1-5 hours","Lower than 1 hour ( < 1 hour)","6","7","6","7","6","7","5","7","RD_90a9f284"
"2023/08/04 7:28:39 오후 GMT+9","32","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","3","7","2","4","2","2","1","RD_d84e41a6"
"2023/08/04 8:49:33 오후 GMT+9","30","Female","1-5 hours","Higher than 1 hour ( > 1 hour)","6","7","6","7","7","6","7","6","MCKN_e303a9fd"
"2023/08/04 9:07:07 오후 GMT+9","32","Male","6-10 hours","Lower than 1 hour ( < 1 hour)","5","1","2","2","2","2","2","2","MCKN_2b767f12"
